"person_id";"primary_name";"birth_year";"death_year";"primary_profession";"known_for_titles"
384825;"John Hillcoat";1961;0;"director,producer,writer";"tt0898367,tt1212450,tt0421238"
385296;"Paris Hilton";1981;0;"actress,producer,writer";"tt0417056,tt0804492,tt0397065,tt0963194"
386246;"Rajkumar Hirani";1962;0;"writer,editor,producer";"tt1187043,tt0374887,tt2338151,tt6452574"
386472;"Emile Hirsch";1985;0;"actor,soundtrack,writer";"tt1093357,tt0811080,tt0758758,tt0265208"
386570;"Oliver Hirschbiegel";1957;0;"director,writer,actor";"tt0427392,tt0250258,tt0363163,tt1238291"
387706;"Gregory Hoblit";1944;0;"producer,director,actor";"tt0117381,tt0081873,tt0186151,tt0106079"
388038;"Aldis Hodge";1986;0;"actor,producer,writer";"tt6443346,tt4846340,tt0112864,tt10612922"
388382;"Tyler Hoechlin";1987;0;"actor,producer,soundtrack";"tt4016454,tt1567432,tt2937696,tt0257044"
389516;"Dick Hogan";1917;1995;"actor,soundtrack";"tt0040746,tt0028578,tt0030808,tt0035608"
389591;"P.J. Hogan";1962;0;"writer,director,assistant_director";"tt0119738,tt0316396,tt0110598,tt2910904"
390229;"Laurie Holden";1969;0;"actress,producer,soundtrack";"tt2149175,tt1520211,tt1190634,tt0286486"
392529;"Tim Holt";1919;1973;"actor,soundtrack";"tt0040897,tt0038762,tt0035015,tt0031971"
393222;"James Hong";1929;0;"actor,producer,writer";"tt0090728,tt0441773,tt1302011,tt6710474"
393535;"Randeep Hooda";1976;0;"actor,producer,director";"tt2372222,tt4832640,tt1395054,tt2980794"
393799;"Tom Hooper";1972;0;"director,producer,soundtrack";"tt0810819,tt1707386,tt5697572,tt1504320"
396558;"Nicholas Hoult";1989;0;"actor,producer,soundtrack";"tt1392190,tt0276751,tt1588173,tt1877832"
396812;"Danny Huston";1962;0;"actor,director,camera_department";"tt0315733,tt0458525,tt0338751,tt0387131"
396924;"Carice van Houten";1976;0;"actress,producer,writer";"tt0944947,tt0985699,tt0389557,tt1053424"
397171;"Bryce Dallas Howard";1981;0;"actress,director,producer";"tt2085059,tt8111088,tt1454029,tt8041270"
397174;"Byron Howard";1968;0;"animation_department,director,producer";"tt0397892,tt0398286,tt2953050,tt2948356"
397788;"Brian Howe";1957;0;"actor,producer,director";"tt3766376,tt1870479,tt0475784,tt0454921"
398185;"Peter Howitt";1957;0;"actor,director,writer";"tt0274166,tt0218817,tt0120148,tt0417586"
398760;"Siu-Lung Leung";1948;0;"actor,stunts,assistant_director";"tt0068676,tt1575673,tt0165362,tt0373074"
400436;"Albert Hughes";1972;0;"producer,director,writer";"tt4244998,tt0120681,tt0107554,tt1037705"
400441;"Allen Hughes";1972;0;"director,producer,writer";"tt0112819,tt1037705,tt0107554,tt0120681"
400464;"Barnard Hughes";1915;2006;"actor";"tt0093437,tt0108147,tt0084827,tt0101745"
401203;"Raman Hui";1963;0;"animation_department,director,art_department";"tt0298148,tt0413267,tt0126029,tt3781476"
401264;"Michiel Huisman";1981;0;"actor,soundtrack";"tt0944947,tt5111414,tt1279972,tt1655441"
402032;"Barry Humphries";1934;2023;"actor,writer,soundtrack";"tt0266543,tt0083067,tt0903624,tt0309912"
402271;"Charlie Hunnam";1980;0;"actor,producer,writer";"tt0206634,tt1663662,tt1124373,tt1972591"
403652;"Ryan Hurst";1976;0;"actor,production_manager,miscellaneous";"tt1192628,tt0210945,tt0335245,tt0277434"
404158;"Walter Huston";1883;1950;"actor,soundtrack";"tt0037515,tt0027532,tt0040897,tt0033532"
404307;"Anna Hutchison";1986;0;"actress,producer";"tt8000908,tt1259521,tt5460530,tt6613952"
404993;"Jonathan Hyde";1948;0;"actor";"tt0118615,tt0113497,tt0120616,tt0120338"
405632;"Mikael Håfström";1960;0;"writer,director,assistant_director";"tt0450385,tt0338309,tt0298412,tt1161864"
406975;"Rhys Ifans";1967;0;"actor,soundtrack,producer";"tt0125439,tt1521197,tt0948470,tt3774114"
407296;"Tsuyoshi Ihara";1963;0;"actor,director,writer";"tt0498380,tt2348539,tt1182921,tt1436045"
410942;"Yuriko Ishida";1969;0;"actress";"tt1798188,tt0119698,tt4882964,tt0110008"
411581;"Maia Morgenstern";1962;0;"actress";"tt0114461,tt0103969,tt0335345,tt5558496"
411790;"Shigesato Itoi";1948;0;"miscellaneous,actor,writer";"tt0208331,tt0208332,tt0835441,tt0096283"
412374;"Dana Ivey";1941;0;"actress,soundtrack";"tt0313737,tt0088939,tt0293564,tt0114319"
412628;"Mitsuo Iwata";1967;0;"actor";"tt6342418,tt5070040,tt0851578,tt0094625"
413168;"Hugh Jackman";1968;0;"actor,soundtrack,producer";"tt0120903,tt0458525,tt1707386,tt3315342"
413238;"Natalie Mendoza";1978;0;"actress,soundtrack";"tt0203009,tt0435625,tt1073105,tt0475047"
413875;"Mick Jackson";1943;0;"director,producer,miscellaneous";"tt1278469,tt0120461,tt0103855,tt0102250"
414144;"Wilfred Jackson";1906;1988;"director,animation_department,music_department";"tt0043274,tt0042332,tt0046183,tt0029583"
416378;"Clifton James";1920;2017;"actor";"tt0081573,tt0071807,tt0070328,tt0061512"
416381;"Colton James";1988;0;"actor,manager,casting_department";"tt0119567,tt0773262,tt0209958,tt0145660"
416596;"Jesse James";1989;0;"actor,producer,writer";"tt0119822,tt0139462,tt0213149,tt0289879"
416673;"Kevin James";1965;0;"actor,producer,writer";"tt1648179,tt1114740,tt3450650,tt0165581"
418883;"Kevin Jarre";1954;2011;"writer,script_department,actor";"tt0089880,tt0120616,tt0097441,tt0118972"
419363;"Christina Jastrzembska";1948;0;"actress";"tt0118480,tt0803096,tt7772580,tt1259571"
420941;"Patty Jenkins";1971;0;"director,producer,writer";"tt0451279,tt0367279,tt0340855,tt1637727"
420955;"Richard Jenkins";1947;0;"actor,producer,soundtrack";"tt0838283,tt0857191,tt0887883,tt5580390"
421105;"Alex Jennings";1957;0;"actor,soundtrack";"tt0436697,tt3722070,tt0120520,tt0449467"
424060;"Scarlett Johansson";1984;0;"actress,soundtrack,producer";"tt1798709,tt1441395,tt0335266,tt0848228"
424103;"Karan Johar";1972;0;"producer,actor,writer";"tt0347304,tt0172684,tt0248126,tt1188996"
424216;"Johnny Knoxville";1971;0;"writer,producer,actor";"tt1291150,tt0267891,tt3063516,tt0377818"
424318;"Glynis Johns";1923;0;"actress,soundtrack";"tt0114924,tt0049096,tt0110955,tt0058331"
424481;"Alexz Johnson";1986;0;"soundtrack,actress,music_department";"tt0414982,tt0169247,tt1018820,tt0420416"
424848;"Dakota Johnson";1989;0;"actress,producer,soundtrack";"tt2322441,tt1285016,tt4477536,tt4465564"
425005;"Dwayne Johnson";1972;0;"actor,producer,soundtrack";"tt3521164,tt2283362,tt1397514,tt6443346"
425610;"Laura Johnson";1957;0;"actress";"tt0081858,tt0079672,tt0421239,tt0369436"
426059;"Rian Johnson";1973;0;"producer,writer,director";"tt2527336,tt8946378,tt1276104,tt11564570"
427934;"Dickie Jones";1927;2014;"actor,soundtrack,stunts";"tt2395427,tt0026163,tt0026636,tt0027200"
427964;"Doug Jones";1960;0;"actor,soundtrack,producer";"tt0411477,tt0457430,tt5580390,tt1783732"
427977;"Duane Jones";1937;1988;"actor";"tt0098482,tt0068619,tt0178965,tt0063350"
428121;"Gemma Jones";1942;0;"actress,soundtrack";"tt0114388,tt0243155,tt1182350,tt1473832"
428656;"Leslie Jones";1967;0;"actress,writer,soundtrack";"tt0072562,tt2461150,tt1289401,tt6802400"
428963;"Orlando Jones";1968;0;"actor,writer,miscellaneous";"tt0191397,tt0251075,tt0303933,tt0268695"
429069;"Rashida Jones";1976;0;"actress,producer,soundtrack";"tt1405365,tt1155056,tt1266020,tt1285016"
430107;"Michael B. Jordan";1987;0;"actor,producer,director";"tt3076658,tt6343314,tt1825683,tt2334649"
430460;"Victor Jory";1902;1982;"actor,writer,soundtrack";"tt0031381,tt0032557,tt0031839,tt0056241"
430535;"Allen Joseph";1919;2012;"actor";"tt0079278,tt0081398,tt0074486,tt0074860"
430809;"Pallavi Joshi";1969;0;"producer,actress,writer";"tt8108268,tt8765164,tt10811166,tt0383875"
430817;"Sharman Joshi";1979;0;"actor,producer,soundtrack";"tt0800956,tt0405508,tt1187043,tt0495034"
431139;"Louis Jourdan";1921;2015;"actor,soundtrack,production_manager";"tt0051658,tt0039694,tt0086034,tt0040536"
431918;"Mike Judge";1962;0;"producer,writer,actor";"tt0118375,tt0105950,tt0115641,tt0151804"
432007;"Curd Jürgens";1915;1982;"actor,director,miscellaneous";"tt0056197,tt0049189,tt0050356,tt0076752"
432753;"Caio Junqueira";1976;2019;"actor";"tt0140888,tt0137546,tt0861739,tt0288464"
